,tag,text
29969,pos,"i also appreciated how allen played the fine line between homage to the films of old , parody and actual reinvention ( note theron's entire female persona that is drenched in film noir- very cool ) ."
10591,pos,"but her troubles are just beginning , as she soon learns with the arrival of blackmailer alek spera ( goran visnjic , "" practical magic "" ) in "" the deep end . """
31053,pos,"lloyd , like many child actors , lacks the subtle acting skills of adult performers , and as a result , his character seems shallow and unimpressive ."
16493,pos,"but the best scene in the entire film ( i'm sure i'm not the first to mention it ) takes place when ripley sees all the variations on her as they cloned her ( she has a an "" 8 "" tatooed on her arm ) ."
7699,pos,it's all fairly sickening and you have to have a healthy stomach to see the whole movie through .
3049,pos,""" afterschool special "" my ass ? "" crazy/beautiful "" is the real deal ."
3898,pos,the other standout performance in the film is delivered by joaquin phoenix .
10611,pos,water imagery is constant ( an early shot of weirdly rushing green is revealed to be a young boy cleaning out an aquarium ) .
32474,pos,"all the while , syd begins to grow deep feelings for lucy , even though she has never previously been attracted to a woman , and lucy starts a battle with her personal demons ."
13304,pos,daniel macivor appropriately chews up the scenery as the villainous godfrey and tracy wright lends able support with her complex role .
30430,pos,"despite the predictability of the main plot , a subplot develops late in the film which took me by surprise , and made me smile when i realized that everything isn't as it seems anymore ."
11654,pos,"it is closer , perhaps , to a chrichton novel than to an action movie ( crichton novels that have been made _into_ action movies notwithstanding ) ."
12295,pos,"well , let's just say that he starts to mess with people's heads and one thing leads to another thing which leads to . . . well ,"
17241,pos,"an amusement park , a hospital , a private "" retired spy "" 's retreat , most of rome , various houses , planes , cars and other modes of transport , and the coliseum ( ! )"
2928,pos,yet this surfeit of signals is made to serve a rather pale and thinly realized love story whose emotional impact is as dry as a desert wind .
23123,pos,"another couple is jerry ( stiller ) and terri ( keener ) who live together and seem to have been involved with each other for a long time , yet they constantly argue over anything and everything ."
20703,pos,"flynt's rag labored in well-deserved obscurity until he published nude photos of jacqueline onassis , which brought the magazine international attention , big money and the attention of conservatives ."
12975,pos,and the soundtrack ?
32874,pos,"spielberg has truly made a wondrous work of art , that persists even after first viewing of the film , is extraordinary ."
8310,pos,"that is not to say that i found the film without considerable merit , that inspite of its shortcomings , it was worth seeing because of its visual statements , though they were also not too subtle , they were at least effective in setting up the intense mood that the film needed to show that there is a mental war going on currently , of those who believe one way is right and others who differ with them , and that anyone who is neutral must be considered an enemy because of their indifference ."
19853,pos,john carpenter directed this stylish and gory vampire flick to which has it's good side and it's bad .
19353,pos,"there's just something about him that always manages to be endearing , even when he's deceiving the town folk ."
4916,pos,"the two narrowly find each other at the russian roulette games , but do not link up until michael discovers nick participating in the games and tries to bring him home ."
18391,pos,you feel and think and reflect .
28135,pos,"even if the whole thing proves to be a creative delusion , one agrees with the character judgment passed down on him by his new girlfriend , ruby ( marisa tomei ) : "" he's a freak , but he sure tells a good story ! """
3790,pos,i rate it a 7 on the 0 to 10 scale and a low +2 on the -4 to +4 scale .
13838,pos,"after the engaging beginning , it starts to falter ."
29357,pos,"there she meets the residential advisor pauly shore , who is a city boy ."
20621,pos,"murron's death changes that and wallace takes arms and , together with small but dedicated band of followers , begins guerrilla campaign that would systematically destroy almost every english garrison in the country ."
17244,pos,"( van damme is a good , dextrous athlete and fighter , but he is often upstaged . )"
17183,pos,or was she truly a messenger of god ?
31438,pos,the huge supporting cast also play a part in making sure this movie is thoroughly entertaining .
13725,pos,"norman jewison directs the film , doing a reasonably good job of pacing and shot selection ."
11329,pos,"though not a classical beauty , blanchett is able to entrance the viewer with just a coy smile or an impish smirk ."
25432,pos,tech credits are superb across the board with an admirable depiction of the us armed forces being placed on a war footing .
8731,pos,"* * * pretty good , bring a friend ."
32900,pos,truman becomes determined to see who or what is behind this apparently elaborate hoax at his expense .
24673,pos,"still , "" scream 2 "" does so many things right , it's petty to quibble ."
17347,pos,things spiral out of control as all these forces head on a collision course of double-cross and double-deals - and a dog that ate a squeaky toy .
17005,pos,"this does not make them less fascinating , merely less marketable , which is a shame , because this is a movie which should be seen , precisely because it pays attention to people and emotions that most movies prefer to ignore ."
16476,pos,"and it pretty much does away with most of the people on the ship ( including some shocks - dan hedaya , for instance , who's death is comical yet sad since , well , he's dan hedaya ) , and the remaining people ( about 7 or 8 ) are left to try and escape and stop the aliens from doing any major harm since the ship is heading quickly towards earth ."
625,pos,? bulworth also meets nina ( halle berry ) with whom he becomes infatuated .
24399,pos,"on the whole , while amistad may not be faithful to all of the details of the situation , it is true to the spirit and meaning of what transpired ."
22361,pos,henry succeeds thanks to excellent writing and direction as well as acting .
16788,pos,"max von sydow is underused , as are jessica brooks and josh paddock ."
27413,pos,"still , it is considered to be one of the finest british vampire film ."
8819,pos,nora ephron's contemporary update of the shop around the corner retains the basic plot : two people who despise each other unwittingly become enamored with each other through their anonymous correspondence .
18267,pos,"there is the frontier fantasy that if you are brave enough to repel a few indians , you can set up a ranch out west and raise a beautiful family ."
15312,pos,"the us president ( pullman ) does not know of the aliens' intention but soon finds out when david ( goldblum ) a scientist , discovers that the aliens are counting down to a synchronised attack on all the major cities ."
19263,pos,""" shrek "" is a definite kid film , but not just a kid film for it is a film for the entire family to enjoy ."
20586,pos,"casting "" doogie howser "" star neil patrick harris as mind-reading military intelligence is only one of the guilty pleasures of "" starship troopers , "" a hugely entertaining , mega-budgeted sci-fi yarn directed by paul verhoeven , who's making quite a recovery from his 1995 g-string epic "" showgirls . """
3904,pos,"gus van sant ( drugstore cowboy , my own private idaho ) direction is first-rate ."
9844,pos,"with his pleasant , common man looks , and charming semi-articulate blatherings he has become one of the most likeable romantic leading men of the 90's ."
23084,pos,"while carlyle did a fine job with the material that he had , his character just never worked for me ."
32152,pos,"bill murray is great fun , and his transistion from cynical to happy is smooth , and delivers his lines in his usual smary style ."
22528,pos,"the first half of the movie follows the brothers as young children , and their various adventures ."
26821,pos,"seen april 16 , 1999 at 10 p . m . at crossgates cinema 18 ( guilderland , n . y . ) , theater #15 , by myself for free using my hoyts' critic's pass ."
10027,pos,"these little contrivances , however , do not hold a candle to the overall effect of the work ."
32016,pos,these patterns create interesting textures which are themselves part of a larger composition .
31436,pos,"sevigny delivers an honest performance , and makes the audience feel for her character ."
2332,pos,"in many ways , "" drunken master "" is similar to most of jackie's other early films , such as "" fearless hyena "" i and ii , "" master with cracked fingers "" , "" half a loaf of kung fu "" , "" spiritual kung fu "" , and others ."
27322,pos,"of course , this prompts the scene unfairly exposed in the trailers , in which jim and a freshly baked pie have a very intimate moment in the kitchen corner ."
5246,pos,"when the signal is closely examined , many new developments spring up , and before long , drumlin is stepping in to take over the operation he once scoffed at ."
2893,pos,"luckily , there's more to the film than some sort of actor's recognition ceremony ."
21808,pos,"this sets a new standard for disney animated films because for the first time , the characters do not sing ."
31015,pos,"cage projects all his desire and longing to be human in simple , heartfelt gazes , and speaks with the comforting , knowing voice that only an angel could have ."
13982,pos,"it is a simply = breathtaking scene , with jesus about to die as a mortal ."
25801,pos,"yes , it's a disaster-slash-action movie . ?"
5901,pos,"unfortunately , the killings help create a climate of suspicion pits neighbor against neighbor ."
32794,pos,"like private eriksson ( michael j . fox ) in casualties of war , shaw initially is naive and idealistic about the war--that is , until his company is attacked by enemy forces ."
2084,pos,miraculous .
6501,pos,"breakdown has been compared to several movies : george sluizer's the vanishing ( the original , hopefully , not his appalling hollywood remake ) , steven spielberg's duel and any number of hitchcock films ."
6572,pos,"a very good cast ( which also includes bill paxton and william hope ) highlights this action film , making it stand out from others ."
2036,pos,">from its opening moments , _life is beautiful_ walks that fine line between serious tragedy and uplifting comedy ."
18127,pos,maybe even less .
3475,pos,explaining why this movie stands out from others with similar plots ( including the original evil dead ) is extremely difficult .
30278,pos,"teenagers , action fans , comedy fans , and people who find church completely boring should stay far away from this movie , since three quarters of the film is watching sonny preach at church ."
31179,pos,comes a wild tale set within the elite and white trash of florida's south coast .
2433,pos,"some may find this scene blindingly confusing , as the reality shifts start coming fast and furious , but it does make sense if you think about it ( and give the script a lot of leeway ) , and let's face it : it's a darn cool way to end the film ."
1787,pos,"however , after about an hour everything comes together and the formula , like it or not , clicks ."
6452,pos,"this was after the release of the high-grossing batman forever , and it said that tommy lee jones and chris o'donnell were being considered for the roles ( in the comic book , there were no black men in black ."
5349,pos,"douglas hall ( ) , his closest friend and business partner , immediately becomes the prime suspect and must enter through the thirteenth floor in search of the truth ."
7195,pos,"duquette and perez , however , begin to suspect that there's more afoot to the case than just false accusations ."
31587,pos,"in the end , the movie's one strength ended up hurting it ."
26831,pos,"we meet ronna ( polley ) , a depressed los angeles checkout girl who doesn't seem to have much desire to do anything except work just to pay her rent ."
14469,pos,"it's these details which convince us that when a colleague of kimble's tells gerard that he's too smart to be caught , he may just be right ."
20364,pos,"i'd heard extremely good things about this movie , and though the previews didn't really intrigue that much , it was a movie i'd been anticipating for a few months now ."
2664,pos,"campbell is very successful with this character , adding the slightest bit of charm to a seemingly repulsive character and making her fun to watch ."
29236,pos,suspense and drama ensue as the three men are left in space with their spaceship out of control and the problem of surviving the journey home . . .
14023,pos,"this while an airborne division marches by , their eyes full of that mound of dogtags ."
1060,pos,downy has mastered the gleefully dry hyper articulate wit of many a hipster intellectual .
5853,pos,"daniel's frantic attempt to fool a court officer is wonderful , as is the climactic restaurant sequence , even though i saw the resolutions coming a mile away ."
15932,pos,"while the viewpoint of the media as a greedy , self-righteous monster has indeed been tackled before , mad city provides a solid two hours of enjoyability ."
21514,pos,she isn't afraid to be seen as something less than a babe and her portrayal of exhausted run-down carol struggling with seemingly overwhelming obligations is top-notch .
12393,pos,"the balance of horror and humour is just about perfect , a marked contrast to the earlier remake from 1988 ."
11731,pos,could have very easily gone the gross-out route ( considering that shandling's character is given a detachable penis that vibrates and hums when he gets excited ) .
18887,pos,life and debt takes a brassy look at life inside this impoverished country .
9529,pos,"often science fiction aficionados find material , previously labelled as science fiction , to be pure fantasy or supernatural horror , or rather simple techno-thriller ."
30794,pos,jordan's boyfriend royce is also in the military .
15331,pos,they disappear and their footage is discovered a year later buried underneath the foundation of a one hundred year old house .
12209,pos,"to make matters considerably worse , melvin has obsessive compulsive disorder ."
23386,pos,diaz is energetic but ultimately nondescript voicing princess fiona .
17553,pos,"known chiefly for the small part she played as the lover whose murder raised mel gibson's ire in "" braveheart "" ( 1995 ) , mccormack shows the true gifts and inarguable talent of a leading lady ."
26841,pos,"and so the film begins to take shape , first by following ronna and her friends on a one-night adventure that begins with a drug deal instigated by zack and adam ( who were actually looking for simon ) , which doesn't exactly go as planned , but that's what keeps it all so interesting ."
23297,pos,"homage to such films as "" high noon "" ( obviously ) , "" red river "" and most notably "" butch cassidy & the sundance kid "" all bring a sense of nostalgia to the film ."
1886,pos,"there's also an interesting scene where goro introduces tampopo and her son to a bunch of street people who , despite their economic trappings , are all gourmets and master sommeliers ."
25805,pos,"i certainly don't care what their intentions were , because michael bay ( the rock ) is such a skilled director that i doubt he'd ever make a film that is difficult to sit through ."
21208,pos,"it doesn't , even in the beginning--while the pair's antics are sometimes amusing and relatively harmless at first , the humor here is still fairly dark ."
13821,pos,david cronenberg presents us with another strange tale crawling out of his impressively twisted head .
8663,pos,"while watching boiler room , i was constantly reminded of last year's masterpiece fight club ."
18716,pos,"to help clean up the stanton campaign , jack and susan bring in an old friend , libby "" the dustbuster "" holden ( kathy bates ) ."
11380,pos,kenneth williams uses a new voice but struggles with the weak part of the 'judge' .
16165,pos,director brett ratner ( the family man ) keeps it moving at an entertaining pace and manages to keep the laughs coming despite the fairly miserable hit to miss ratio of the jokes ( i guess sometimes the shotgun approach works ) .
1934,pos,"although it was great fun watching star wars and the empire strikes back on the big screen , return of the jedi generates a greater sense of enjoyment ."
3151,pos,"he's able to portray the angst of a man who knows he has very little time left , without making him an obnoxious whiner ."
4728,pos,"the script makes many points about society in america today , and isn't afraid to make any bold statements about what is a flawed system ."
30587,pos,"basically , that's about it ."
10167,pos,"one night , the two travel to a circus , where they have their fortune told ? one of the film's most delightful scenes ? that great happiness is destined for them ."
25380,pos,"in fact , he believes that the greatest chance one takes in life is betting one's immortal soul on the truth of a religious faith ."
21843,pos,"the films of the trilogy took me away from my everyday life and immersed me in a story "" a long time ago in a galaxy far , far away . . . . """
2976,pos,"there are virtually no surprises , and the writing is second-rate ."
14786,pos,"so it was in our family when we wandered over to the classic section of our local video store the other day and picked up a copy of the adventures of robin hood , a high spirited version of the walter scott story ."
27620,pos,"seann william scott , who's also in theaters right now in "" road trip , "" plays the somewhat dim billy hitchcock and provides a needed counterpoint to the intensity of alex and carter ."
17939,pos,"harmless , silly and fun comedy about dim-witted wrestling fans gordie and sean ( david arquette and scott caan ) who idolize current world championship wrestling heavyweight champion jimmy king ( oliver platt ) ."
4861,pos,""" some people believe that we are gonna replace ourselves by building these machines , and that may be , "" muses mit robot scientist rodney brooks , who builds robots that run on instinct ."
27474,pos,"somehow he comes across donnie brasco ( depp ) , a younger guy with a lot of spunk who isn't afraid of lefty and his rep , and even manages to befriend him after lefty was ready to kill him ."
15959,pos,"immediately , the film finds its tone and the audience settles in for an enjoyable time ."
25480,pos,there are no fancy crane shots or extended dollies or excessive close-ups .
10557,pos,"paradoxically , there's a lot less gore ."
8869,pos,"on the other hand , lack of credible special effects somewhat diminished the same effect during the ocean liner scene ."
3652,pos,one of the more interesting dvd features is an outtake segment for each of the survivors ( plus one for the crew ) .
9106,pos,"by an extremist chain of events , the tape ends up in labor lawyer robert dean ( will smith ) 's posession , and it's not long before he's running from reynolds' cronies ."
7011,pos,the movie reminds us of the sacrifices made by our ww ii fighting men and women .
23322,pos,3 . they are not to have spoken together much since they split apart .
2512,pos,"overall , the truman show is excellent entertainment ."
7709,pos,"he proves that a man , on the brink of death , would do anything to stay alive , including sacrificing his own soul ."
809,pos,"they are somehow lost in time , as it loops uncontrollably back and forth ."
23423,pos,"`run lola run' , a german import that gained a stellar reputation at the sundance film festival , is a dazzling and kinetic film that deals with the subjects of fate and chance ."
17865,pos,it wasn't until the surprise ending was revealed that i realized the film was actually intentionally ( and perfectly ) paced in order to give the audience ample time to re-connect all of the information they had seen once the climax had been reached .
5219,pos,"essentially they are vacuumed up by the whirlwind , held aloft by updrafts , and finally dropped elsewhere ."
18120,pos,suppose like a grisham novel ) .
8031,pos,"the explorers invite her over , and she then tells her story of titanic ."
16875,pos,is it a little too sugar-coated ?
29003,pos,"a slow moving , stylish psychological thriller in imitation of hitchcock's vertigo ."
1545,pos,"never got made , many films like it were , and mant !"
22797,pos,"in her quest to make sense out of her loss , she befriends her late boyfriend's mistress , visits her ill sister , and , eventually , abandons her old life by joining a "" back-to- nature "" cult ."
4219,pos,"life is beautiful is a self-proclaimed fable , one which tells its story in grand , two-part fashion ."
21307,pos,"kirk douglas is the kind of actor we don't seem to see to much of these days : he's a tough guy , but the human elements are never hidden too deeply underneath that gruff exterior ."
3371,pos,but i must end my review with a plea to movie theatre owners . . . turn
421,pos,"plot : a young man who loves heavy metal music and especially the band steel dragon , to whom he's devoted a tribute band in which he sings , gets launched into stardom when the real group get rid of their lead singer and call on him to take his place ."
16364,pos,"she does , and if anyone deserves accolades from the academy this year , it's griffiths ."
24238,pos,and so begins our journey into the most anticipated sequel of the summer season .
4043,pos,"i know she took lessons to improve her range and all , but it still sounds like she's trying to hard ."
27177,pos,"luckily , his showcase of actors convert every morsel of possible enjoyment onto the screen , and jackie brown has no trouble entertaining the average viewer ."
28317,pos,he * became * the message he was carrying .
4393,pos,( one of my small gripes is that we never see what the spin doctors on the other side are doing . )
8440,pos,"but in the hands of park and his team , the stories felt fresh and inspired , and not the least bit contrived ."
12751,pos,"they're brutal , horrifying , and at times beautiful due to the amazing cinematography ."
31258,pos,"despite those minor complaints , gone in sixty seconds is pure summer movie entertainment ."
30549,pos,why is this such a good film ?
13852,pos,"the way i see it , this is the film's crucial failure ."
22565,pos,"whether it be duvall's inane questions or macy's sharp anger , the laughs come in a steady pace ."
14104,pos,"there's really not that much gore , but what there is might seem kinda gross to some ."
28394,pos,"another scene shows her simplying trying to cross a street , but as the camera pulls back , we see that her path is blocked by hundreds of wounded soldiers , but it is their moaning that's more graphic than all the bloody gore could ever be ."
3264,pos,"ultimately , none of these characters appears to love anyone else as much as they love themselves ."
9482,pos,it includes the film in its original theatrical aspect ratio of 1 . 85 : 1 ( and is enhanced for 16x9 televisions ) and features the original theatrical trailer .
4451,pos,"on the other hand , there are low-key performances from kenneth connor and peter butterworth as barnes the handyman , and there are very poor performances by windsor davies and jack douglas who spend far too much time on the screen !"
20140,pos,"make sure to look for a young lorenzo lamas in the static role of the brainless football player , as well as the national bandstand dance contest as one of the film's absolute highlights ."
12640,pos,"perfectly downplaying the `fish-out-of-water' routine through his character's attempts at mixing into american culture , he makes up for the down time his character experiences ."
27940,pos,it actually gets a bit creepy when death talks to the dying in their own voices/accents .
12688,pos,"the coach is just about the biggest a-hole you'd ever want to meet , who will do practically anything to win ."
17290,pos,the emperor's new groove is funny .
21141,pos,certainly a worthwhile visit to the theaters .
10925,pos,but perhaps it isn't a mistake .
28871,pos,""" i know what you did last summer , "" is a successful horror film for a number of reasons ."
27153,pos,"in what seems like days , she moves in with lonely , suicidal waiter fernando ( bruno ganz ) , gets a job as a florist , learns the accordion , and befriends her neighbor -- a wacky holistic masseuse named grazia ( marina massironi ) ."
19589,pos,"julie wants ray to come , but he declines the offer , so karla secretly invites will instead to help boost her plan of hooking him up with julie ."
19095,pos,how about a classic john denver song as a death signal for a change ?
14848,pos,you won't regret it .
25284,pos,"after getting into a tiff with the law , a distinguished professor ( skarsg ? rd ) discovers will ? s genius and offers him a chance to clean up his record and avoid jail time , at a price : he must attend weekly sessions with a therapist and work on various mathematical problems ( that have stumped the academic elite ) with the professor ."
4595,pos,williams is excellent as should be no surprise .
8634,pos,"coalwood is a coal mining town , and , except for the few lucky ones who manage to escape on a football scholarship , most of coalwood's boys are destined to work in the mine ."
20918,pos,"again , oh well ."
4673,pos,`the phantom menace' delivers exactly what you'd expect from a `star wars' film which is why it succeeds as well as it does but is always why it never truly achieves greatness .
28630,pos,some related to the younger couples' issues .
23079,pos,there was no doubt in my mind that she was cast exclusively for her looks .
2462,pos,including a thirst for human blood that must be kept under control by a special serum which quenches his blood lust .
26279,pos,"and bullets got some very raving reviews , but i didn't think i'd like ."
15282,pos,"tom hanks is superb , straying away from his usually soppy dramatic roles , such as in forrest gump ( 1994 ) ."
1956,pos,hogarth teaches the giant to go against his programming and become what he wants to be : a hero .
30779,pos,i mean 'gi jane ? ' ? ? ? ? ?
25742,pos,"does murphy have any human spirit or free will left , or is he merely a computer following a program ?"
27219,pos,the play was in turn is based on a time in the life of the playwright .
25717,pos,( orion pictures had to edit this extremely graphic scene in order to get an r rating from the m . p . a . a . )
12903,pos,"those two robots are sold to the family of luke skywalker ( mark hamill ) , young restless man who wants to leave his farm and become space pilot ."
9406,pos,"and i think i'm the kind of person that laughs least at movies , even when i find them funny ."
2633,pos,"though an unlikely pair , duchovny and driver gradually warm up to each other as the movie progresses ."
4298,pos,"the narration which fills the film ( and perplexes many ) not only lets us hear the narrators ( the characters themselves ) pontificate , but also lets us hear such of-the-moment thoughts as "" i'm scared . """
7371,pos,"for now , "" scream "" holds the title as the finest series of horror films to be committed to celluloid ."
6499,pos,"because of a nasty incident earlier with a couple of ruffians , jeff decides to stay with the car while amy gets help ."
12863,pos,oh i can't wait to see who they've slept with when the toy story 2 dvd comes out .
27343,pos,"in albert brook's latest comedy , he tells a story of a troubled screenwriter ( brooks ) who's losing his edge , as his business partners say ."
31790,pos,"not as hip and clever as "" shorty , "" perhaps , or as complex and colorful as "" brown , "" but loads of fun nonetheless ."
15221,pos,the novel became one of great classics of science fiction genre and it natural for filmmakers to use it as inspiration .
25736,pos,the humorous satire in robocop is simultaneously credible and absurd .
852,pos,"the fact there's a dead body in the corner goes to enhance the feeling of paranoia and a mysterious , hurried call telling him to leave immediately is also very chilling ."
8455,pos,why ?
24736,pos,"if she doesn't want to be the ingenue of the moment , she should have said "" no , "" not go ."
30813,pos,"this is a marvelous confection -- cocky , funny , thought provoking ."
18490,pos,neo quickly learns that the world he has known all his life is not what it seems .
29884,pos,"the music score , by james newton howard , and unsettling use of whispers and ghostly sound effects , successfully compliment and foreshadow the off-kilter frame-of-mind that tom is put into , and director david koepp proves once again that he is a director with a knack for creating almost unbearably tense situations that revolve around realistically-written characters ."
21121,pos,"but lest the nasties be mistaken for simple comic book bad guys , john carpenter would like to remind us that they are - and always have been - a truly frightening element of the thriller genre ."
26696,pos,"however , legally , did he do the murder ?"
7851,pos,"there , an ant can be his own boss and have all the food he wants ."
10496,pos,"ironside is superbly evil , with an utterly emotionless face ."
24668,pos,there are more players this time around as to provide both a higher number suspects and a staggering body count .
4980,pos,"the great thing about this film is that every single character has a moment to shine , and they use it wonderfully ."
17157,pos,he has become her obsession .
7710,pos,he believes so much in this indian myth that he starts to change physically .
4643,pos,what we get here is a movie not unlike any of the other three we've come to know and love since the late 1970s .
14313,pos,"al pacino , as tony montana ( for whom the movie is named ) , also provides a brilliant performance as a cuban refugee who comes to america with less than nothing and becomes one of the most highly respected and feared drug lords in miami ."
30015,pos,heather was even more of an outsider than they were in high school .
1119,pos,"while it sheds only a little light on the behind-the-scenes world of the fashion industry , it presents a fascinating , if incomplete , picture of designer mizrahi ."
11980,pos,"he somehow completely misses them , leading jules to cite divine intervention ."
3186,pos,"it's not that he's bad per se , but he's not very interesting ."
7356,pos,"when sidney finally ventures out to hollywood as the murders become more prevalent , she ? ? ? s chased onto the set of stab 3 , wandering through "" woodsboro , "" written and directed as an odd , surreal , nightmare indeed , this is one of "" scream 3 "" ? ? ? s finest moments ."
5509,pos,"the story in itself is not exactly something very exciting and also , the acting is only at most , average by most commercial standards ."
17570,pos,"the only sequence that has the chance to be truly indelible is veronica being pulled in front of the hypocrisy of the inquisition and threatened with the death penalty for her transgressions , but it never quite comes off because it's simply too melodramatic and conventional ."
27280,pos,it was only a matter of time before a dilbert-esque office comedy hit the screens .
21812,pos,"i heard it on the soundtrack , and wondered where it was going to be ."
2382,pos,"also , the mostly-unrelated-storywise sequel , "" drunken master ii "" , will hit theaters in american release sometime later this year ( though what its american-release title will be is still uncertain ) and comes _highly_ recommended by this reviewer ."
30681,pos,"the cgi whales look incredibly life-like , except for some googly cartoon eyes drawn onto the images ."
12314,pos,"i mean , i know the guy is smart and all , but i would have appreciated a little more "" realism "" under some of the circumstances ."
13449,pos,the pates employ a number of interesting techniques to present vignettes from elizabeth's final days and hours .
21963,pos,"sophie marceau , as princess isabelle , has along the movie no more than fifteen minutes of performance but mel gibson gave to those minutes such a very special treatment that princess isabelle soon becomes one of the major characters in braveheart ."
5911,pos,in a very gutsy move director spike lee shows sex without fantasy .
17736,pos,special effects weren't bad -- but i've certainly seen better .
31082,pos,"jar jar usually performs a comic-relief role in the film , lightening scenes with his mishaps and inability to stay out of trouble ."
20480,pos,i've always been told that there are two things in life that are unavoidable - death and taxes .
12013,pos,"from start to finish , this movie does not let go of you ."
29533,pos,"this movie is about a tragic event that took place a great many years ago , an even that should not be taken lightly as any other bit of historical trivia ."
29652,pos,perhaps it's that good ol' southern charm .
12921,pos,"that honour should definitely go to the "" oscar "" -winning soundtrack by john williams , whose work on star wars is probably the brightest gem in his brilliant career ."
31916,pos,"that's why it's smaller than the refrigerator . """
4305,pos,"this basically creates a mess , but the stories can be discerned and enjoyed ."
18413,pos,is it made for the scream audiences of the day ?
8160,pos,but he is the only person that is not aware of it .
22317,pos,"in a phrase , it is everything ."
7331,pos,"everything is told from mike's perspective , but we're finally able to recognize some things on our own ."
30697,pos,"set to camille saint-saens "" the carnival of the animals "" , this segment features a flamingo torturing his fellow flamingos with a yo-yo while they are trying to perform a choreographed dance number ."
22070,pos,"it's not a bad idea but the execution is lacking , with those scenes feeling tacked on to further spell out the message ."
15421,pos,"their settings are far removed from my personal experience - geographically , historically , and socially ."
29325,pos,( if there was any justice in this dog gone world keanu reeves would be the one banished to direct to video hell ) .
11082,pos,"it's very familar , your typical horror film ."
24846,pos,"fans were treated to an 8 round battle of endurance and strategy , as much as brute strength , that immediately entered boxing lore ."
25308,pos,"the real gem though is stellan skarsg ? rd ? s turn as professor lambeau , an award-winning mathematician who feels reduced in comparison to a younger , smarter will hunting ."
21750,pos,seeing black silhouettes on computer screens is not immediately scary .
31654,pos,we discover that not everyone in the chidduck camp is loyal to the cause .
5595,pos,"and being jealous , she cuts lesly down mercilessly ."
13310,pos,the love scenes between the women are especially beautiful .
7992,pos,"since linklater only spends a few minutes with each character , the introduction of the new characters gets repetitive after a while ."
2174,pos,"it follows his disappointing american debut trauma ( 1992 ) , the patchy opera ( 1987 ) and several mediocre films he produced for young italian director michele soavi in the late 1980's ."
26915,pos,"that is the current tagline of "" galaxy quest , "" a star trek - type show that's no longer produced but lives on forever in reruns ."
8183,pos,"the direction is fast , thrilling , and never holds up ."
11766,pos,the product of his genuis is really something to see -- it can bring tears to your eyes just as it uplifts you .
3789,pos,"if you get a thrill from seeing what look very much like live dinosaurs alive today , the film is for you ."
19998,pos,nobody's perfect but billy wilder .
14509,pos,"while it is never depicted as a very romantic matrimony to start--pollock and wife channel their passions elsewhere--their symbiosis leaves each other picked dry after several years , and it comes down to krasner suffering one of pollock's conniptions too many : "" you are killing me !"
31416,pos,"valjean promises the gravely ill fantine he will rescue the young cosette ( mimi newman ) from her cruel caretakers , the thenardiers , and raise the child as his own ."
922,pos,my religion is movies .
5924,pos,maybe it's because of how the mundane is mixed with the bizarre .
14315,pos,the film begins by disclosing the story of now fidel castro ordered thousands of cubans to set sail and head for the coasts of the united states .
32087,pos,double jeopardy is based on an assumption that is legally false .
10979,pos,the matrix
26543,pos,"after sixteen years francis ford copolla has again returned to his favorite project , making the third installment in the godfather-trilogy ."
20412,pos,"so then , we have 25 minutes of additional footage that's turned a decent underwater thriller into something quite magnificent ."
9187,pos,"all the cast members from the original reprise their roles , and each is excellent ."
16823,pos,"fighting scenes are still impressive today as they were 25 years ago , although they mostly lack gore associated with that genre ."
29217,pos,"the movie has atmosphere the whole way through that is disturbing and creepy , and even sometimes downright scary ."
5394,pos,"penny henderson ( mary stuart masterson ) , the station owner's secretary , must deal with her overbearing boss , an unimpressed sponsor and writers ready to quite on a moment's notice , partly due to the fact that they haven't been paid in weeks ."
11769,pos,"the film requires much work , and can be a harrowing experience -- go expecting a quick entertainment and you'll be bitterly dissapointed ."
14455,pos,didn't .
16988,pos,there is no suggestion of sexuality in the relationship ; ilona and lauri sleep in separate beds and their gestures of affection lack the heat of desire ; their lives are now bound by something more complex and desperate than love .
1995,pos,"proximo is looking for gladiators to earn himself money ( he being a former gladiator himself ) , and maximus reluctantly uses his skills to prove himself a powerful gladiator ."
2012,pos,but he should have it now .
15613,pos,"the thought-provoking question of tradition over morals is the subject directly at the core of "" leila , "" a powerfully articulated and subtle drama from famous iranian director dariush mehrjui , that is his first motion picture in a prosperous thirty-year career to gain u . s . distribution , thanks to first run features ."
5365,pos,"virtual reality is a wizard that transforms your hopes , dreams and fantasies to life ."
5587,pos,in one scene marty and lesly are playing chop sticks together on the piano when jackie-o pushes her aside and starts playing a challenging classical piece for four hands .
16118,pos,"we also get some great support from stellan skarsg ? rd ( great name ) , ben affleck , and from minnie driver , who plays will's love interest , skylar ."
30811,pos,"but the film , is something else , something original ."
14775,pos,"i'm trying to save a bit of the film here , it's worth sitting through to get to this point ."
15450,pos,"the veteran captain ( george clooney ) is frustrated because he can't find fish on the grand banks , yet a rival skipper ( mary elizabeth mastrantonio ) brings in huge hauls ."
19963,pos,movies aimed at young audiences are rarely this visually exquisite .
10039,pos,"with the flexibility offered by cgi , the sharks get more full-length screen time as their predecessors did in those remote-controlled rubber suit days ."
